timestamp_ms,raw_gx,raw_gy,raw_gz,filt_gx,filt_gy,filt_gz,pid_roll_out,pid_pitch_out,pid_yaw_out,pid_roll_err,pid_pitch_err,pid_yaw_err,acc_x,acc_y,acc_z
84807,2.868652,-0.305176,0.488281,3.385672,-0.380206,0.856524,-16.915445,10.329017,-3.420250,-84.577225,51.645081,4.248134,-1.789648,-4.091309,8.771192
84812,2.868652,-0.305176,0.488281,3.282268,-0.365200,0.782876,-16.962166,10.333957,-3.394048,-84.810829,51.669785,4.248134,-1.789648,-4.091309,8.771192
84817,2.868652,-0.305176,0.488281,3.199545,-0.353195,0.723957,-16.962166,10.333957,-3.386920,-84.810829,51.669785,4.248134,-1.789648,-4.091309,8.771192
84822,0.915527,-0.061035,-0.061035,2.742741,-0.294763,0.566958,-16.962166,10.333957,-3.384395,-84.810829,51.669785,4.248134,-1.784863,-4.158301,8.804688
84827,0.915527,-0.061035,-0.061035,2.377298,-0.248017,0.441360,-16.571541,10.285129,-3.278680,-82.857704,51.425644,4.797450,-1.784863,-4.158301,8.804688
84832,0.915527,-0.061035,-0.061035,2.084944,-0.210621,0.340881,-16.603477,10.290073,-3.252264,-83.017387,51.450367,4.797450,-1.784863,-4.158301,8.804688
84837,0.915527,-0.061035,-0.061035,1.851061,-0.180704,0.260498,-16.603477,10.290073,-3.244981,-83.017387,51.450367,4.797450,-1.784863,-4.158301,8.804688
84842,-1.037598,0.122070,-0.610352,1.273329,-0.120149,0.086328,-16.603477,10.290073,-3.242313,-83.017387,51.450367,4.797450,-1.804004,-4.163086,8.766406
84847,-1.037598,0.122070,-0.610352,0.811144,-0.071705,-0.053008,-16.212852,10.253452,-3.136461,-81.064262,51.267262,5.346766,-1.804004,-4.163086,8.766406
84852,-1.037598,0.122070,-0.610352,0.441395,-0.032950,-0.164477,-16.215206,10.258395,-3.109907,-81.076027,51.291977,5.346766,-1.804004,-4.163086,8.766406
84857,-1.037598,0.122070,-0.610352,0.145597,-0.001946,-0.253652,-16.215206,10.258395,-3.102486,-81.076027,51.291977,5.346766,-1.804004,-4.163086,8.766406
84862,-2.624512,0.488281,-1.037598,-0.408425,0.096099,-0.410441,-15.897822,10.185153,-3.018560,-79.489113,50.925766,5.774013,-1.794434,-4.091309,8.775976
84867,-2.624512,0.488281,-1.037598,-0.851642,0.174536,-0.535872,-15.897822,10.185153,-2.997216,-79.489113,50.925766,5.774013,-1.794434,-4.091309,8.775976
84872,-2.624512,0.488281,-1.037598,-1.206216,0.237285,-0.636217,-15.869499,10.180939,-2.990971,-79.347496,50.904694,5.774013,-1.794434,-4.091309,8.775976
84877,-2.624512,0.488281,-1.037598,-1.489875,0.287484,-0.716493,-15.869499,10.180939,-2.988369,-79.347496,50.904694,5.774013,-1.794434,-4.091309,8.775976
84882,-3.601074,0.610352,-1.159668,-1.912115,0.352058,-0.805128,-15.674187,10.156525,-2.963468,-78.370934,50.782623,5.896083,-1.780078,-3.976465,8.780762
84887,-3.601074,0.610352,-1.159668,-2.249907,0.403716,-0.876036,-15.674187,10.156525,-2.956342,-78.370934,50.782623,5.896083,-1.780078,-3.976465,8.780762
84892,-3.601074,0.610352,-1.159668,-2.520140,0.445043,-0.932763,-15.629356,10.151633,-2.953505,-78.146782,50.758167,5.896083,-1.780078,-3.976465,8.780762
84897,-3.601074,0.610352,-1.159668,-2.736327,0.478105,-0.978144,-15.629356,10.151633,-2.951701,-78.146782,50.758167,5.896083,-1.780078,-3.976465,8.780762
84902,-3.662109,0.732422,-0.976562,-2.921484,0.528968,-0.977827,-15.617149,10.127219,-2.984915,-78.085747,50.636097,5.712977,-1.770508,-3.847266,8.756836
84907,-3.662109,0.732422,-0.976562,-3.069609,0.569659,-0.977574,-15.617149,10.127219,-2.991845,-78.085747,50.636097,5.712977,-1.770508,-3.847266,8.756836
84912,-3.662109,0.732422,-0.976562,-3.188109,0.602212,-0.977372,-15.617149,10.127219,-2.991845,-78.085747,50.636097,5.712977,-1.770508,-3.847266,8.756836
84917,-3.662109,0.732422,-0.976562,-3.282909,0.628254,-0.977210,-15.570941,10.117667,-2.992232,-77.854706,50.588333,5.712977,-1.770508,-3.847266,8.756836
84922,-2.624512,0.671387,-0.549316,-3.151229,0.636880,-0.891631,-15.570941,10.117667,-2.990958,-77.854706,50.588333,5.712977,-1.746582,-3.718066,8.742480
84927,-2.624512,0.671387,-0.549316,-3.045886,0.643782,-0.823168,-15.778461,10.129874,-3.086804,-78.892303,50.649368,5.285731,-1.746582,-3.718066,8.742480
84932,-2.624512,0.671387,-0.549316,-2.961611,0.649303,-0.768398,-15.743299,10.120082,-3.092261,-78.716492,50.600410,5.285731,-1.746582,-3.718066,8.742480
84937,-2.624512,0.671387,-0.549316,-2.894191,0.653719,-0.724582,-15.743299,10.120082,-3.092576,-78.716492,50.600410,5.285731,-1.746582,-3.718066,8.742480
